dataset,dialogue_id,utterance_idx,speaker,split,utterance,gpt-4o_intention,donation_amount,donation_made
P4G,20180719-120436_413_live,8,ER,train,Children are the future and unfortunately too many of them don't get the quality of life that we take advantage of today.,Emphasizing the importance of helping children,0.0,0
P4G,20180719-120436_413_live,9,ER,train,Sometimes we're in a better place and we have to do what we can to help their conditions a little bit.,Encouraging the idea of helping those in need,0.0,0
P4G,20180719-120436_413_live,10,ER,train,"Even little bits can go a long way, you know?",Highlighting that small contributions can make a difference,0.0,0
P4G,20180719-120436_413_live,11,EE,train,"it does, and charities can go further with the amount of money donated.",Agreeing and noting the impact of donations,0.0,0
P4G,20180719-120436_413_live,12,ER,train,Absolutely.,Agreeing with the previous statement,0.0,0
P4G,20180719-120436_413_live,13,ER,train,I remember seeing ads on the television about it and it breaks my hear to see children so sad and suffering in conditions that they live in.,Sharing a personal reaction to seeing ads about the charity,0.0,0
P4G,20180719-120436_413_live,14,ER,train,"I haven't personally witnessed experiences first hand, however, it comes down to basic human needs.",Clarifying that their understanding is based on general knowledge,0.0,0
P4G,20180719-120436_413_live,15,EE,train,It's sad to think being born in the wrong conditions can have such a lifelong impact.,Expressing sadness about the impact of being born in poor conditions,0.0,0
P4G,20180719-120436_413_live,16,ER,train,Exactly.,Agreeing with the sentiment expressed,0.0,0
P4G,20180719-122534_38_live,0,ER,train,It would be really helpful if you donated to Save the Children fund!,Requesting a donation to Save the Children fund,0.5,1
P4G,20180719-122534_38_live,1,EE,train,What does the money go towards if I donate?,Inquiring about the allocation of donated money,0.5,1
P4G,20180719-122534_38_live,2,ER,train,"When crisis strikes and children are most vulnerable, we are always among the first to respond and the last to leave.",Explaining the organization's response during crises,0.5,1
P4G,20180719-122534_38_live,3,ER,train,We ensure children's unique needs are met and their voices are heard.,Emphasizing the focus on children's needs and voices,0.5,1
P4G,20180719-122534_38_live,4,ER,train,"We deliver lasting results for millions of children, including those hardest to reach.",Highlighting the impact and reach of their efforts,0.5,1
P4G,20180719-122534_38_live,5,ER,train,We do whatever it takes for children ??Â¸??Â¸ transforming their lives and the future we share ??Â¸??Â¸ because we believe every child deserves a future.,Reinforcing the organization's commitment to children's futures,0.5,1
P4G,20180719-122534_38_live,6,EE,train,Where in the world are the children located?,Asking about the geographical locations of the children helped,0.5,1
P4G,20180719-122534_38_live,7,ER,train,"US and global, wherever children need help, they are there.",Clarifying that help is provided both in the US and globally,0.5,1
P4G,20180719-122534_38_live,8,EE,train,"If I donate $25, does that go a long way?",Questioning the impact of a $25 donation,0.5,1
P4G,20180719-122534_38_live,9,ER,train,"Absolutely, a small amount of money for us turns out to be life changing for those in need.",Assuring that even small donations are impactful,0.5,1
P4G,20180719-122534_38_live,10,ER,train,A dollar can buy a lot!,Emphasizing the value of a dollar in their programs,0.5,1
P4G,20180719-122534_38_live,11,EE,train,Will it help towards education?,Inquiring if donations support education,0.5,1
P4G,20180719-122534_38_live,12,ER,train,"Yes, it is one of the core programs.",Confirming that education is a core program,0.5,1
P4G,20180719-165941_192_live,0,ER,valid,Hello,Greeting the other person,0.0,0
P4G,20180719-165941_192_live,1,EE,valid,"Yea, hello.",Acknowledging the greeting,0.0,0
P4G,20180719-165941_192_live,2,EE,valid,Glad you took your time.,Expressing sarcasm or frustration,0.0,0
P4G,20180719-165941_192_live,3,ER,valid,I'd like to speak to you about Save the Children.,Introducing the topic of conversation,0.0,0
P4G,20180719-165941_192_live,4,ER,valid,Do you have any kids?,Inquiring about the other person's personal life,0.0,0
P4G,20180719-165941_192_live,5,EE,valid,"No, I do not have kids.",Responding to the inquiry,0.0,0
P4G,20180719-165941_192_live,6,EE,valid,What is Save the Children about?,Asking for more information about the topic,0.0,0
P4G,20180719-165941_192_live,7,ER,valid,Save the Children is an international non-governemnt organization.,Providing basic information about the organization,0.0,0
P4G,20180719-165941_192_live,8,ER,valid,"Their goal is to promotes children's rights, provides relief and helps support children in developing countries.",Explaining the goals and activities of the organization,0.0,0
P4G,20180719-165941_192_live,9,EE,valid,That sounds really cool.,Expressing interest or approval,0.0,0
P4G,20180719-165941_192_live,10,EE,valid,What specific countries do they help out?,Asking for specific details,0.0,0
P4G,20180719-165941_192_live,11,ER,valid,They help out many third world countries from all over the world.,Providing additional information,0.0,0
P4G,20180719-165941_192_live,12,EE,valid,Okay.,Acknowledging the information,0.0,0
P4G,20180719-165941_192_live,13,EE,valid,I guess I would look them up sometime to find out more.,Expressing intent to research further,0.0,0
P4G,20180719-165941_192_live,14,ER,valid,How do you feel about those who were unluckily born to poor circumstances?,Inquiring about the other person's feelings on a related issue,0.0,0
P4G,20180719-165941_192_live,15,EE,valid,I feel like it's a shame and I wish we could do more.,Expressing empathy and concern,0.0,0
P4G,20180719-165941_192_live,16,EE,valid,How can I help?,Asking how they can contribute or help,0.0,0
P4G,20180719-165941_192_live,17,ER,valid,You sound like a really kind person.,Complimenting the other person,0.0,0
P4G,20180719-165941_192_live,18,ER,valid,Would you like to make a donation to Save the Children.,Requesting a donation,0.0,0
P4G,20180719-181845_211_live,0,ER,train,Hello!,Greeting the other person,0.0,0
P4G,20180719-181845_211_live,1,ER,train,How're you doing today?,Inquiring about the other person's well-being,0.0,0
P4G,20180719-181845_211_live,2,EE,train,"Hey, kind of tired but overall good.",Responding to the inquiry and sharing personal state,0.0,0
P4G,20180719-181845_211_live,3,EE,train,How are you?,Returning the inquiry about well-being,0.0,0
P4G,20180719-181845_211_live,4,ER,train,I'm doing alright.,Responding to the inquiry about well-being,0.0,0
P4G,20180719-181845_211_live,5,ER,train,I just had a thought on my mind that I wanted to ask you about,Introducing a topic they want to discuss,0.0,0
P4G,20180719-181845_211_live,6,EE,train,Yea?,Expressing interest and prompting to continue,0.0,0
P4G,20180719-181845_211_live,7,EE,train,Go for it.,Encouraging the other person to proceed with their topic,0.0,0
P4G,20180719-181845_211_live,8,ER,train,Do you donate when you get the chance?,Asking a question about the other person's donation habits,0.0,0
P4G,20180719-181845_211_live,9,ER,train,"I was thinking about how everywhere you go, they ask you to donate .50 here and your change there.",Providing context and elaborating on the topic of donations,0.0,0
P4G,20180719-181845_211_live,10,ER,train,I think I need to actually start donating.,Expressing a personal intention to start donating,0.0,0
P4G,20180719-181845_211_live,11,ER,train,How does it make you feel?,Asking for the other person's feelings on the topic,0.0,0
P4G,20180719-181845_211_live,12,ER,train,Do you donate?,Reiterating the question about donation habits,0.0,0
P4G,20180719-181845_211_live,13,EE,train,I don't like to donate to for profit businesses.,Expressing a personal stance on donating to for-profit businesses,0.0,0
P4G,20180719-181845_211_live,14,EE,train,I feel like they'll just take my donation and get their tax credit.,Explaining the reasoning behind their stance,0.0,0
P4G,20180719-181845_211_live,15,ER,train,How do you feel about Save the Children?,Asking for the other person's opinion on a specific charity,0.0,0
P4G,20180719-181845_211_live,16,ER,train,My nephew had to get taken into the hospital not too long ago and I just got the letter in the mail saying they used Save the Childrens donation money to help him.,Sharing a personal story related to the charity,0.0,0
P4G,20180719-181845_211_live,17,ER,train,I'm thinking about donating to them.,Expressing an intention to donate to the charity,0.0,0
P4G,20180719-181845_211_live,18,EE,train,I'm sorry to hear about your nephew?,Expressing sympathy for the situation,0.0,0
P4G,20180719-181845_211_live,19,EE,train,"What happened, if you don't mind me asking.",Inquiring further about the situation,0.0,0
P4G,20180719-181845_211_live,20,ER,train,We found out the hard way that he has actual celiacs (sorry I can't spell too well) and he has an allergic reaction to the cake on his birthday.,Explaining the medical condition and incident involving their nephew,0.0,0
P4G,20180719-181845_211_live,21,ER,train,He went through a TON of testing and that's how they caught it.,Providing additional details about the medical testing,0.0,0
P4G,20180719-181845_211_live,22,ER,train,He has to stay overnight at the hospital for a few weeks and his parents just couldn't afford it.,Describing the financial difficulty faced by the family,0.0,0
P4G,20180719-181845_211_live,23,ER,train,That's when Save the Children came around to help,Explaining how the charity helped in the situation,0.0,0
P4G,20180719-181845_211_live,24,EE,train,Oh my gosh.,Expressing shock and sympathy,0.0,0
P4G,20180719-181845_211_live,25,EE,train,"I am so sorry to hear about the little guy and how his birthday, too.",Expressing further sympathy and concern,0.0,0
P4G,20180719-182453_233_live,0,ER,train,Hello!,Greeting the other person,0.0,0
P4G,20180719-182453_233_live,1,EE,train,Hey,Responding to the greeting,0.0,0
P4G,20180719-182453_233_live,2,ER,train,"So, are you interested in charities that help save the children?",Inquiring about the other person's interest in a specific type of charity,0.0,0
P4G,20180719-182453_233_live,3,EE,train,Which children?,Seeking clarification about which children the charity helps,0.0,0
P4G,20180719-182453_233_live,4,ER,train,What does the charity do exactly?,Asking for more details about the charity's activities,0.0,0
P4G,20180719-182453_233_live,5,ER,train,"Instead of the typical charities that help children in a far away land, we here use state of the art location technology to help children in need right in your own community so you can see your money at work personally",Explaining the unique approach of the charity,0.0,0
P4G,20180719-182453_233_live,6,EE,train,What would my money do exactly,Requesting specific information about the use of donations,0.0,0
P4G,20180719-182453_233_live,7,ER,train,It would go to the three most important things that a child need.,Providing information about the allocation of donations,0.0,0
P4G,20180719-182453_233_live,8,ER,train,"Food, shelter, and education.",Listing the primary needs addressed by the charity,0.0,0
P4G,20180719-182453_233_live,9,ER,train,The majority of your donation would go towards education as that is often the most difficult to provide for the children,Emphasizing the focus on education in the charity's efforts,0.0,0
P4G,20180719-182453_233_live,10,EE,train,How would I know that the money is actually being used to help children and not just pocketed by the people that run the c harity,Expressing concern about the transparency and accountability of the charity,0.0,0
P4G,20180719-204358_391_live,0,ER,train,"Hey there, glad we can talk tonight.",Initiate conversation and express gladness for the opportunity to talk,0.0,0
P4G,20180719-204358_391_live,1,EE,train,"Hello, same!",Reciprocate greeting and express mutual gladness,0.0,0
P4G,20180719-204358_391_live,2,ER,train,I'd like to talk to you about something that's very dear to me.,Introduce a topic of personal importance,0.0,0
P4G,20180719-204358_391_live,3,ER,train,Do you have a moment?,Inquire about the availability of the listener,0.0,0
P4G,20180719-204358_391_live,4,EE,train,"Yeah, totally.",Confirm availability,0.0,0
P4G,20180719-204358_391_live,5,EE,train,Go ahead,Encourage the speaker to proceed,0.0,0
P4G,20180719-204358_391_live,6,ER,train,What was it like for you growing up?,Ask about the listener's childhood experience,0.0,0
P4G,20180719-204358_391_live,7,ER,train,"Were your basic needs met like food, place to live, water, etc?",Inquire about the fulfillment of basic needs during the listener's childhood,0.0,0
P4G,20180719-204358_391_live,8,EE,train,"Well, I grew up in a wealthy house.",Provide background information about their upbringing,0.0,0
P4G,20180719-204358_391_live,9,EE,train,My mother and father both have a PhD so their jobs made possible for us to be able to cover all that and so much more,Elaborate on the parents' educational background and financial stability,0.0,0
P4G,20180719-204358_391_live,10,ER,train,You are very lucky.,Express acknowledgment of the listener's fortunate circumstances,0.0,0
P4G,20180719-204358_391_live,11,ER,train,I wish all kids could have that kind of opportunity.,Express a wish for equal opportunities for all children,0.0,0
P4G,20180719-204358_391_live,12,EE,train,"So do I, I feel kind of guilty to being able to have all that and they are kids out there who don't have not a single one of all of those basic things",Express feelings of guilt about their privileged upbringing,0.0,0
P4G,20180719-204358_391_live,13,ER,train,No need to feel guilty.,Reassure the listener that guilt is unnecessary,0.0,0
P4G,20180719-204358_391_live,14,ER,train,People don't have a choice of who or where they are born to.,Explain that people cannot choose their birth circumstances,0.0,0
P4G,20180719-204358_391_live,15,ER,train,"Those of us who got lucky, can always lend a hand in our own ways.",Suggest that the fortunate can help others,0.0,0
P4G,20180719-204358_391_live,16,ER,train,What do you think?,Seek the listener's opinion on helping others,0.0,0
P4G,20180719-211253_768_live,0,ER,train,"Hey, good to be chatting with you tonight.",Initiate conversation,0.5,1
P4G,20180719-211253_768_live,1,EE,train,Hi!,Respond to greeting,0.5,1
P4G,20180719-211253_768_live,2,EE,train,Looking forward chatting with you too.,Express enthusiasm for conversation,0.5,1
P4G,20180719-211253_768_live,3,ER,train,I'd like to talk to use about a vulnerable group.,Introduce topic of discussion,0.5,1
P4G,20180719-211253_768_live,4,ER,train,Do you have a moment?,Seek confirmation of availability,0.5,1
P4G,20180719-211253_768_live,5,EE,train,"Yes, I do",Confirm availability,0.5,1
P4G,20180719-211253_768_live,6,ER,train,I'd like to talk about children.,Specify topic of discussion,0.5,1
P4G,20180719-211253_768_live,7,ER,train,What was life like for you growing up?,Inquire about personal history,0.5,1
P4G,20180719-211253_768_live,8,ER,train,Did you have to worry about your basic needs at all?,Probe for specific details about basic needs,0.5,1
P4G,20180719-211253_768_live,9,ER,train,"Like food, place to live, safety, etc?",Clarify previous question,0.5,1
P4G,20180719-211253_768_live,10,EE,train,"There were periods in my childhood when money was very short and we had our telephone or power cut off, but I always had a safe place to live and food to eat.",Share personal experience,0.5,1
P4G,20180719-211253_768_live,11,ER,train,It is really difficult having to grow up having to worry about basic needs.,Express empathy,0.5,1
P4G,20180719-211253_768_live,12,ER,train,I'm glad you are able to look for what to be grateful for.,Acknowledge positive outlook,0.5,1
P4G,20180719-211253_768_live,13,EE,train,What was life like for you growing up?,Reciprocate question,0.5,1
P4G,20180719-211253_768_live,14,EE,train,"Did you have any worries about food, shelter, safety, etc.?",Seek details about personal history,0.5,1
P4G,20180719-211253_768_live,15,ER,train,I guess there are more people than we know who grew up with no worries.,Reflect on common experiences,0.5,1
P4G,20180719-211253_768_live,16,ER,train,I grew up worrying about my safety and whether I'd have a place to live.,Share personal experience,0.5,1
P4G,20180719-211253_768_live,17,ER,train,My dad was a gambling addict.,Provide additional context,0.5,1
P4G,20180719-211253_768_live,18,EE,train,I don't have any experiences like that but I'm sure it must have been very difficult and scary to go through that as a child.,Express empathy and understanding,0.5,1
P4G,20180719-211253_768_live,19,ER,train,Thank you.,Express gratitude,0.5,1
P4G,20180719-211253_768_live,20,ER,train,"I really appreciate your sympathizing, and I'm glad I got to share that with someone.",Acknowledge empathy and express relief,0.5,1
P4G,20180719-211253_768_live,21,EE,train,Did you ever use the services of any organizations for children to help you through the rough times?,Inquire about use of support services,0.5,1
P4G,20180719-211253_768_live,22,ER,train,"No I didn't, but I now donate to them.",Respond to inquiry and share current actions,0.5,1
P4G,20180719-211301_463_live,0,ER,train,Have you heard of the Save The Children Foundation?,To introduce the topic of the Save The Children Foundation,0.0,0
P4G,20180719-211301_463_live,1,EE,train,"No, I have not.",To express lack of knowledge about the foundation,0.0,0
P4G,20180719-211301_463_live,2,EE,train,Can you tell me about it?,To request more information about the foundation,0.0,0
P4G,20180719-211301_463_live,3,ER,train,"They ensure children's rights to health, education, safety, etc.",To provide information about the foundation's mission,0.0,0
P4G,20180719-211301_463_live,4,EE,train,"Is it just in one country, or do they work around the world?",To inquire about the geographical scope of the foundation's work,0.0,0
P4G,20180719-211301_463_live,5,ER,train,Yes.,To confirm the foundation's global reach,0.0,0
P4G,20180719-211301_463_live,6,ER,train,"For example, the child refugees from Syria.",To provide an example of the foundation's work,0.0,0
P4G,20180719-211301_463_live,7,ER,train,"In the first two months of this year, 1000 kids were killed in Syria.",To highlight the severity of the situation in Syria,0.0,0
P4G,20180719-211301_463_live,8,ER,train,Crazy.,To express disbelief or shock at the situation,0.0,0
P4G,20180719-211301_463_live,9,EE,train,That's so sad.,To express sadness about the situation,0.0,0
P4G,20180719-211301_463_live,10,EE,train,I wish I could do something to help.,To express a desire to help,0.0,0
P4G,20180719-211301_463_live,11,ER,train,Have you ever donated to a charity?,To inquire about the EE's past charitable donations,0.0,0
P4G,20180719-211301_463_live,12,EE,train,"Yeah, a few local charities.",To confirm past donations to local charities,0.0,0
P4G,20180719-211301_463_live,13,EE,train,"Like our animal shelter, a low income housing group, foster care organziations, etc",To provide examples of past charitable donations,0.0,0
P4G,20180719-211301_463_live,14,ER,train,That's very nice of you.,To compliment the EE on their charitable actions,0.0,0
P4G,20180719-211301_463_live,15,ER,train,"If you'd like to get a better idea of what Save The Children does, and how to possibly donate, you can visit their website at  URL",To suggest a way for the EE to learn more and possibly donate,0.0,0
P4G,20180719-211301_463_live,16,EE,train,I'll definitely check them out.,To express intent to visit the foundation's website,0.0,0
P4G,20180719-211301_463_live,17,EE,train,"Any organization that helps kids is one worth supporting, either with my own time or with money.",To express support for organizations that help children,0.0,0
P4G,20180719-211301_463_live,18,ER,train,I feel the same way.,To express agreement with the EE's sentiment,0.0,0
P4G,20180719-211301_463_live,19,ER,train,How much would you be willing to donate to Save the Children?,To inquire about the EE's willingness to donate to Save the Children,0.0,0
P4G,20180719-211301_463_live,20,EE,train,"I can't afford a lot right now because I have other bills, but I could probably do $5 now with more next month.",To explain current financial limitations but willingness to donate a small amount,0.0,0
P4G,20180719-211846_176_live,0,ER,test,"hi, how are you?",Initiate conversation and greet,0.0,0
P4G,20180719-211846_176_live,1,EE,test,I'm doing well thank you,Respond to greeting and provide a status update,0.0,0
P4G,20180719-211846_176_live,2,ER,test,"that good You knew that for every minute that passes, a child under the age of 5 dies as a result of the war in the Middle East",Introduce a serious issue to raise awareness,0.0,0
P4G,20180719-211846_176_live,3,EE,test,That is absolutely terrible.,Express concern and empathy,0.0,0
P4G,20180719-211846_176_live,4,EE,test,Are there any good charities that are helping on this issue?,Inquire about potential solutions or actions,0.0,0
P4G,20180719-211846_176_live,5,ER,test,"I recently read from an organization called Save a Children, which works hard to protect these children and needs financial help to continue",Provide information about a specific charity,0.0,0
P4G,20180719-211846_176_live,6,EE,test,How can someone help?,Seek further information on how to help,0.0,0
P4G,20180719-211846_176_live,7,EE,test,I would be willing to donate my time and perhaps some money.,Express willingness to contribute,0.0,0
P4G,20180719-211846_176_live,8,ER,test,"you can help by donating what you can, you can even help with your win in mturk, I think these children need us now",Encourage donation and suggest a specific way to help,0.0,0
P4G,20180719-211846_176_live,9,EE,test,How exactly does the money help the cause?,Request detailed information on the impact of donations,0.0,0
P4G,20180719-211846_176_live,10,EE,test,What's it spent on?,Seek clarification on the allocation of funds,0.0,0
P4G,20180719-211846_176_live,11,ER,test,"is super important, help children who live the harsh reality of war, fewer and fewer people help, the money goes to the education, health and safety of these children.",Explain the importance and allocation of donations,0.0,0
P4G,20180719-211846_176_live,12,ER,test,how much would you be willing to donate your payment?,Inquire about the specific amount the other person is willing to donate,0.0,0
P4G,20180719-211846_176_live,13,EE,test,I'd be willing to donate a dollar or two,State a specific amount they are willing to donate,0.0,0
P4G,20180719-211846_176_live,14,ER,test,"eso estaria muy bien, entre todos podemos ayudar, la mayoria de los demas trabajadores  donaran todo su pago, estos ni??Â¸?Â£?os estaran agradecidos",Express approval and mention others' contributions,0.0,0
P4G,20180723-025150_733_live,0,ER,train,Hello,Greeting the other person,0.2,1
P4G,20180723-025150_733_live,1,ER,train,How are you ?,Inquiring about the other person's well-being,0.2,1
P4G,20180723-025150_733_live,2,EE,train,"I'm good,how are you?",Responding to the greeting and inquiring about the other person's well-being,0.2,1
P4G,20180723-025150_733_live,3,ER,train,I am great.,Responding to the inquiry about well-being,0.2,1
P4G,20180723-025150_733_live,4,ER,train,Thanks How much do you typically give to charity in a year?,Expressing gratitude and inquiring about the other person's charitable contributions,0.2,1
P4G,20180723-025150_733_live,5,EE,train,I give £3 a week so around £36 a year.,Providing information about their charitable contributions,0.2,1
P4G,20180723-025150_733_live,6,ER,train,Oh that's pretty great.,Expressing approval of the other person's charitable contributions,0.2,1
P4G,20180723-025150_733_live,7,ER,train,What kind do you typically give to?,Inquiring about the type of charity the other person contributes to,0.2,1
P4G,20180723-025150_733_live,8,EE,train,I pay money to the Royal National Institute for the Blind.,Providing information about the specific charity they contribute to,0.2,1
P4G,20180723-025150_733_live,9,ER,train,Oh awesome.,Expressing approval of the charity mentioned,0.2,1
P4G,20180723-025150_733_live,10,ER,train,Have you heard of Save the children?,Inquiring if the other person is aware of a specific charity,0.2,1
P4G,20180723-025150_733_live,11,EE,train,Yes.,Confirming awareness of the specific charity,0.2,1
P4G,20180723-031022_254_live,0,ER,valid,Hello.,Greeting,1.0,1
P4G,20180723-031022_254_live,1,EE,valid,hi,Greeting,1.0,1
P4G,20180723-031022_254_live,2,ER,valid,I'd like to recommend a donation to Save the Children.,Recommend a donation to Save the Children,1.0,1
P4G,20180723-031022_254_live,3,EE,valid,what exactly happened to these children's?,Request information about the children's situation,1.0,1
P4G,20180723-031022_254_live,4,ER,valid,"Save the Children supports many important childhood related causes, like helping to provide education and nutrition support to disadvantaged children.",Provide information about the organization's causes,1.0,1
P4G,20180723-031022_254_live,5,EE,valid,I'd like to know what specific ethnicity are we supporting,Request specific information about the ethnicity of the children supported,1.0,1
P4G,20180723-031022_254_live,6,ER,valid,"Oh, I see.",Acknowledge the request,1.0,1
P4G,20180723-031022_254_live,7,ER,valid,"There is no specific targeted ethnicity, the program uses funds to assist children in many different locations.",Clarify that the program does not target a specific ethnicity,1.0,1
P4G,20180723-031022_254_live,8,EE,valid,"I see, can you go into a little bit more details about some of the childhood related causes ?",Request more details about the causes supported,1.0,1
P4G,20180723-031022_254_live,9,ER,valid,Sure.,Agree to provide more details,1.0,1
P4G,20180723-031022_254_live,10,ER,valid,A great example would be Save the Children's commitment to helping children suffering from disease.,Provide an example of the organization's work,1.0,1
P4G,20180723-031022_254_live,11,ER,valid,"During the 2014 ebola outbreak, funds were used to support hospitals in Sierra Leone to provide hospital beds and medical treatment for children suffering from the disease.",Give a specific example related to the 2014 Ebola outbreak,1.0,1
P4G,20180723-031022_254_live,12,EE,valid,"ah, I see, that's very heartbreaking to here.",Express empathy and understanding,1.0,1
P4G,20180723-031022_254_live,13,EE,valid,I'd be glad to support the cause,Express willingness to support the cause,1.0,1
P4G,20180723-034109_263_live,0,ER,train,Hey,Greeting,1.0,1
P4G,20180723-034109_263_live,1,EE,train,Hiya,Greeting,1.0,1
P4G,20180723-034109_263_live,2,ER,train,are you familiar with Save the Children?,Inquiring about familiarity with Save the Children,1.0,1
P4G,20180723-034109_263_live,3,EE,train,I'm not - Could you tell me more about it?,Requesting more information about Save the Children,1.0,1
P4G,20180723-034109_263_live,4,ER,train,Well Save the children is an organization that ensures children rights to health education and safety.,Providing information about Save the Children,1.0,1
P4G,20180723-034109_263_live,5,ER,train,Children who suffer from hunger would greatly appreciate a donation,Encouraging donation by highlighting need,1.0,1
P4G,20180723-034109_263_live,6,EE,train,Great - So how does the donation process work?,Inquiring about the donation process,1.0,1
P4G,20180723-034109_263_live,7,EE,train,How do I make sure my money is being used for that purpose?,Seeking assurance about the use of donation,1.0,1
P4G,20180723-034109_263_live,8,ER,train,The research team will collect tall donations and send it to save the children,Explaining the donation collection process,1.0,1
P4G,20180723-034109_263_live,9,EE,train,Ok - so can I donate $20?,Expressing willingness to donate,1.0,1
P4G,20180723-034109_263_live,10,ER,train,"Yes, your donation will be directly deducted from you task payment you can choose any amount from 0 to all of your paymen",Explaining the donation deduction process,1.0,1
P4G,20180723-034109_263_live,11,EE,train,oh - well since it'll be deducted from my task payment - Let's do half - $1,Deciding on the donation amount,1.0,1
P4G,20180723-034109_263_live,12,ER,train,Half of 1 dollar?,Clarifying the donation amount,1.0,1
P4G,20180723-034654_121_live,0,ER,train,"Hello, how ware you today?",Initiate conversation and greet,0.0,0
P4G,20180723-034654_121_live,1,EE,train,"Hello, I'm alright.",Respond to greeting,0.0,0
P4G,20180723-034654_121_live,2,ER,train,Do you consider yourself someone that wants to make a change in the world?,Inquire about EE's interest in making a change in the world,0.0,0
P4G,20180723-034654_121_live,3,EE,train,Yes somewhat.,Express a moderate interest in making a change,0.0,0
P4G,20180723-034654_121_live,4,EE,train,With e environment and food system.,Specify areas of interest (environment and food system),0.0,0
P4G,20180723-034654_121_live,5,EE,train,What do you think of children's charities?,Seek ER's opinion on children's charities,0.0,0
P4G,20180723-034654_121_live,6,ER,train,I think some are good but i've been donating to Save the Children (foundation).,Share personal opinion and mention specific charity (Save the Children),0.0,0
P4G,20180723-034654_121_live,7,ER,train,Have you ever heard of them?,Inquire if EE is familiar with the mentioned charity,0.0,0
P4G,20180723-034654_121_live,8,EE,train,I think I have.,Express uncertainty but possible familiarity,0.0,0
P4G,20180723-034654_121_live,9,EE,train,I've heard of Red Cross,Mention familiarity with another charity (Red Cross),0.0,0
P4G,20180723-034654_121_live,10,ER,train,It is similar in which all funds donated are used to help kids in need.,Explain similarity between Save the Children and Red Cross,0.0,0
P4G,20180723-034654_121_live,11,EE,train,That's nice.,Acknowledge the information,0.0,0
P4G,20180723-034654_121_live,12,EE,train,How much would you donate if given the chance to help a childrens charity?,Inquire about ER's potential donation amount to children's charity,0.0,0
P4G,20180723-034654_121_live,13,ER,train,i'm not sure i already donate my time.,Express uncertainty and mention current contribution (time),0.0,0
P4G,20180723-034654_121_live,14,EE,train,Oh ok.,Acknowledge ER's response,0.0,0
P4G,20180723-042226_724_live,0,ER,train,Hi there.,Greeting the other person,0.5,1
P4G,20180723-042226_724_live,1,ER,train,How are you today?,Inquiring about the other person's well-being,0.5,1
P4G,20180723-042226_724_live,2,EE,train,"Hello, I am fine, how about you?",Responding to the greeting and inquiring back,0.5,1
P4G,20180723-042226_724_live,3,ER,train,Very well thanks.,Responding positively to the inquiry,0.5,1
