dataset,dialogue_id,utterance_idx,speaker,split,utterance,gpt-4o_intention
res_CB,C_6d72c4730b544119a891202e79e657f7,0,Buyer,valid,Are appliances included? Washer and Dryer?,Inquiring about included appliances
res_CB,C_6d72c4730b544119a891202e79e657f7,1,Seller,valid,All appliances are there including washer and dryer.,Confirming inclusion of appliances
res_CB,C_6d72c4730b544119a891202e79e657f7,2,Buyer,valid,What about pets? Smokers?,Inquiring about pet and smoking policies
res_CB,C_6d72c4730b544119a891202e79e657f7,3,Seller,valid,Pets are ok but smoking inside is not.,Clarifying pet and smoking policies
res_CB,C_6d72c4730b544119a891202e79e657f7,4,Buyer,valid,"Did the previous occupant have pets? If so, have the carpets been shampooed or replaced?",Inquiring about previous occupant's pets and carpet condition
res_CB,C_6d72c4730b544119a891202e79e657f7,5,Seller,valid,The last occupant did not have pets. The carpets have been cleaned and the walls freshly painted.,Providing information about previous occupant and carpet condition
res_CB,C_6d72c4730b544119a891202e79e657f7,6,Buyer,valid,Do you have an available unit at the end of a row? Having one neighbor is fine. I can't stand having at attached neighbor on both sides.,Inquiring about the availability of a specific type of unit
res_CB,C_6d72c4730b544119a891202e79e657f7,7,Seller,valid,"Yes, this unit is on the end. It's a gorgeous home and I am sure you will be please with it and all the amenities. Pool and clubhouse!",Confirming availability and promoting the unit's features
res_CB,C_6d72c4730b544119a891202e79e657f7,8,Buyer,valid,"It's overpriced. $1,500 and I'll move in the beginning of the month.",Negotiating the price and proposing a move-in date
res_CB,C_6d72c4730b544119a891202e79e657f7,9,Seller,valid,I'm afraid that price is way to low for this unit. The lowest I could go is 2600.,Rejecting the proposed price and countering with a minimum price
res_CB,C_6d72c4730b544119a891202e79e657f7,10,Buyer,valid,"2,250?",Attempting to negotiate a lower price
res_CB,C_605dbfbe17a84018aa9e4367f893b155,0,Seller,valid,are you will to buy it,Initiate the conversation and gauge the buyer's interest
res_CB,C_605dbfbe17a84018aa9e4367f893b155,1,Buyer,valid,yes,Confirm interest in purchasing
res_CB,C_605dbfbe17a84018aa9e4367f893b155,2,Seller,valid,i can offer you this item for 175$ with original box manual and remote,Make an initial offer and provide details about the item
res_CB,C_605dbfbe17a84018aa9e4367f893b155,3,Buyer,valid,a bit lower than that maybe?,Negotiate for a lower price
res_CB,C_605dbfbe17a84018aa9e4367f893b155,4,Seller,valid,165$ can be a good deal,Counter the buyer's offer with a slightly lower price
res_CB,C_605dbfbe17a84018aa9e4367f893b155,5,Buyer,valid,how about the condition?,Inquire about the item's condition
res_CB,C_605dbfbe17a84018aa9e4367f893b155,6,Seller,valid,"it new light used only, only 6 to 7 month old. still under warranty",Provide information about the item's condition and age
res_CB,C_605dbfbe17a84018aa9e4367f893b155,7,Buyer,valid,how about the shipping?,Inquire about shipping details
res_CB,C_605dbfbe17a84018aa9e4367f893b155,8,Seller,valid,i you are willing to pay 170 i can make the shipping what  do you say?,Propose a new price that includes shipping
res_CB,C_605dbfbe17a84018aa9e4367f893b155,9,Buyer,valid,but you cant ship with 165?,Question the seller's inability to ship at the lower price
res_CB,C_605dbfbe17a84018aa9e4367f893b155,10,Seller,valid,5$ isn't much for this item.,Justify the additional cost for shipping
res_CB,C_605dbfbe17a84018aa9e4367f893b155,11,Buyer,valid,yeah i know i think 170 is good with free shipping,Agree to the proposed price with free shipping
res_CB,C_605dbfbe17a84018aa9e4367f893b155,12,Seller,valid,can we have the deal,Confirm the deal and seek final agreement
res_CB,C_b9bce3c3705d4e36a562ccc0bfcffa07,0,Buyer,valid,I am interested in the apartmnet,Expressing interest in the apartment
res_CB,C_b9bce3c3705d4e36a562ccc0bfcffa07,1,Seller,valid,It is still available and quite beautiful. What questions do you have?,Confirming availability and inviting questions
res_CB,C_b9bce3c3705d4e36a562ccc0bfcffa07,2,Buyer,valid,"None really, i have seen it before when a friend lived there. I know for a fact that the rent advertised is much higher than what he pays",Stating familiarity with the apartment and questioning the rent
res_CB,C_b9bce3c3705d4e36a562ccc0bfcffa07,3,Seller,valid,Well this is one of the upgraded units with carpeting and AC. The rent is quite fair. Can I ask what he pays?,Justifying the rent and inquiring about the friend's rent
res_CB,C_b9bce3c3705d4e36a562ccc0bfcffa07,4,Buyer,valid,"He has an upgraded unit and pays 1200. I understand rent has gone up in the past 2 years, so i am willing to pay 1350",Providing information about the friend's rent and making an initial offer
res_CB,C_b9bce3c3705d4e36a562ccc0bfcffa07,5,Seller,valid,I think your friend might be lying about his rent.,Expressing skepticism about the friend's rent
res_CB,C_b9bce3c3705d4e36a562ccc0bfcffa07,6,Buyer,valid,"I dont think so, we are very close.",Defending the friend's honesty
res_CB,C_b9bce3c3705d4e36a562ccc0bfcffa07,7,Seller,valid,Feel free to make me an offer.,Inviting the buyer to make an offer
res_CB,C_b9bce3c3705d4e36a562ccc0bfcffa07,8,Buyer,valid,1400 and i will work as super for the whole place,Making a new offer and proposing additional services
res_CB,C_b9bce3c3705d4e36a562ccc0bfcffa07,9,Seller,valid,As long as you are willing to clean the dog crap off the lawn then that will work.,Setting a condition for the offer
res_CB,C_b9bce3c3705d4e36a562ccc0bfcffa07,10,Buyer,valid,"Done deal, im into that",Agreeing to the condition and finalizing the deal
res_CB,C_6765d54166e543738262a516dad1d95d,0,Seller,valid,are you interested in the bike,Initiating the conversation and gauging interest
res_CB,C_6765d54166e543738262a516dad1d95d,1,Buyer,valid,may be,Expressing uncertainty or indecision
res_CB,C_6765d54166e543738262a516dad1d95d,2,Seller,valid,okay all the specs are in the discpition ill willing to negotiate a little,Providing information and showing willingness to negotiate
res_CB,C_6765d54166e543738262a516dad1d95d,3,Buyer,valid,perhaps I can pay you 3 dollars,Testing the waters with a low offer
res_CB,C_6765d54166e543738262a516dad1d95d,4,Seller,valid,are you serious are joking i'll give you the bike for $155,Expressing disbelief and countering with a higher price
res_CB,C_6765d54166e543738262a516dad1d95d,5,Buyer,valid,I will pay you 100 dollars,Countering with a higher but still low offer
res_CB,C_6765d54166e543738262a516dad1d95d,6,Seller,valid,perhaps you might not make this deal $155 is a Great price,Indicating that the current offer is not acceptable and emphasizing the value
res_CB,C_6765d54166e543738262a516dad1d95d,7,Buyer,valid,How about 133?,Proposing a compromise
res_CB,C_6765d54166e543738262a516dad1d95d,8,Seller,valid,i'm firm on $150 if you can't afford i'll have to pass,Setting a firm price and indicating a willingness to walk away
res_CB,C_6765d54166e543738262a516dad1d95d,9,Buyer,valid,I will pay you 133 and that is at.,Reiterating their final offer
res_CB,C_6765d54166e543738262a516dad1d95d,10,Seller,valid,how you gonna price my bike $150 are you don't have a deal guy,Reaffirming their firm price and rejecting the buyer's final offer
res_CB,C_5c9a254c3c4d4645bd3181c038da7790,0,Buyer,valid,Ive got $80 I can spend on the phone.,State budget constraint
res_CB,C_5c9a254c3c4d4645bd3181c038da7790,1,Seller,valid,"The phone is listed at 160, I'm not taking 80 for it.",Reject offer and assert original price
res_CB,C_5c9a254c3c4d4645bd3181c038da7790,2,Buyer,valid,it would be productive fro both of us if you tell me what you would be willng to take.,Encourage negotiation by asking for a counteroffer
res_CB,C_5c9a254c3c4d4645bd3181c038da7790,3,Seller,valid,What if I bring the price down to 140?,Make a counteroffer
res_CB,C_5c9a254c3c4d4645bd3181c038da7790,4,Buyer,valid,My final offer is $100,Present final offer
res_CB,C_5c9a254c3c4d4645bd3181c038da7790,5,Seller,valid,130 and I'll throw in 7 great movies on the SD card.,Make a new counteroffer with added value
res_CB,C_5c9a254c3c4d4645bd3181c038da7790,6,Buyer,valid,"Im still at $100, yes or no?",Reiterate final offer and seek confirmation
res_CB,C_5c9a254c3c4d4645bd3181c038da7790,7,Seller,valid,"130, 7 great movies on the SD card, and I'll even give you a new case for it. What do you think?",Enhance counteroffer with additional value and seek buyer's opinion
res_CB,C_5c9a254c3c4d4645bd3181c038da7790,8,Buyer,valid,I think $100 and we are done.,Reiterate final offer firmly
res_CB,C_5c9a254c3c4d4645bd3181c038da7790,9,Seller,valid,125 and you come pick it up.,Make a final counteroffer with a condition
res_CB,C_b992b45e882c42a891e52b5487d561bc,0,Buyer,valid,Hey I like this mirror. Is it in good condition? Any knicks?,Express interest and inquire about the condition of the item
res_CB,C_b992b45e882c42a891e52b5487d561bc,1,Seller,valid,Hello,Acknowledge the buyer's message
res_CB,C_b992b45e882c42a891e52b5487d561bc,2,Seller,valid,"It is in good condition, very little wear",Provide information about the item's condition
res_CB,C_b992b45e882c42a891e52b5487d561bc,3,Buyer,valid,Okay sounds good. How biig is it?,Confirm understanding and ask for additional details (size)
res_CB,C_b992b45e882c42a891e52b5487d561bc,4,Seller,valid,27 1/2 inches wide,Provide the requested size information
res_CB,C_b992b45e882c42a891e52b5487d561bc,5,Buyer,valid,Decent size. I'll give you $12 for it.,Express approval of the size and make an offer
res_CB,C_b992b45e882c42a891e52b5487d561bc,6,Seller,valid,"I bought it for $35 , how about 23?",Counter the offer with a higher price
res_CB,C_b992b45e882c42a891e52b5487d561bc,7,Buyer,valid,But it is used. How about $15?,Negotiate by offering a slightly higher price
res_CB,C_b992b45e882c42a891e52b5487d561bc,8,Seller,valid,17 and it's yours,Counter the new offer with a slightly higher price
res_CB,C_b992b45e882c42a891e52b5487d561bc,9,Buyer,valid,Okay 17 it is. I'l  pick it up today.,Accept the final offer and arrange for pickup
res_CB,C_b992b45e882c42a891e52b5487d561bc,10,Seller,valid,Thanks! I'll be here!,Express gratitude and confirm availability
res_CB,C_f991cac61421441a89a914a9b7aae350,0,Seller,valid,"Hi, are you interested in my dope bike?",Initiate conversation and gauge interest
res_CB,C_f991cac61421441a89a914a9b7aae350,1,Buyer,valid,"Hello, I may be interested in your BMX bike you have for sale.",Express potential interest in the bike
res_CB,C_f991cac61421441a89a914a9b7aae350,2,Seller,valid,"Its an awesome bike, what is your offer",Highlight the bike's quality and prompt for an offer
res_CB,C_f991cac61421441a89a914a9b7aae350,3,Buyer,valid,"Considering it needs a new chain and the brake cable is missing, I think $60 is a fair offer.",Justify a lower offer based on the bike's condition
res_CB,C_f991cac61421441a89a914a9b7aae350,4,Seller,valid,"If you throw in something else to sweeten the deal, im in.",Negotiate for a better deal by asking for additional items
res_CB,C_f991cac61421441a89a914a9b7aae350,5,Buyer,valid,"I dont know what I could throw in, its going to be for my son and I would have to still take the bike to have a chain and cable put on so he could ride it.",Express reluctance to add items and explain the situation
res_CB,C_f991cac61421441a89a914a9b7aae350,6,Seller,valid,Do you have any old Hoobastank CDs? I'm a collector,Propose a specific trade item to continue negotiation
res_CB,C_f991cac61421441a89a914a9b7aae350,7,Buyer,valid,"No, I am not in for trades, I can do cash only.",Decline the trade and insist on a cash-only deal
res_CB,C_f991cac61421441a89a914a9b7aae350,8,Seller,valid,The only way im going below $90 is with a trade added in. My asking price is $90 and i could buy at least 45 hoobastank CDs with that amount,Set a firm price and justify it with a personal value comparison
res_CB,C_f991cac61421441a89a914a9b7aae350,9,Buyer,valid,"Ok, well I see another bike in better condition for cheaper so I will go with the other. thanks for your time.",Decline the offer and end the negotiation
res_CB,C_94e2687ca8df42e99d31ff02d4d4a80f,0,Buyer,valid,Hello is this item still for sale?,Inquire about availability
res_CB,C_94e2687ca8df42e99d31ff02d4d4a80f,1,Seller,valid,"yes hi , it's a perfect bike",Confirm availability and promote item
res_CB,C_94e2687ca8df42e99d31ff02d4d4a80f,2,Buyer,valid,Can you tell me a little about it?,Request more information
res_CB,C_94e2687ca8df42e99d31ff02d4d4a80f,3,Seller,valid,"it's a light bike, easy to handle, fairly new, pro-bike, it's like no other bike, you should come and ride it if you don't believe me,",Provide detailed description and encourage trial
res_CB,C_94e2687ca8df42e99d31ff02d4d4a80f,4,Buyer,valid,What are you asking?,Inquire about price
res_CB,C_94e2687ca8df42e99d31ff02d4d4a80f,5,Seller,valid,I ll let it go for 2600,State asking price
res_CB,C_94e2687ca8df42e99d31ff02d4d4a80f,6,Buyer,valid,Are the tires in good shape?,Inquire about condition of tires
res_CB,C_94e2687ca8df42e99d31ff02d4d4a80f,7,Seller,valid,yes they are in perfect shape,Confirm good condition of tires
res_CB,C_94e2687ca8df42e99d31ff02d4d4a80f,8,Buyer,valid,Will you take 2000?,Make a lower offer
res_CB,C_94e2687ca8df42e99d31ff02d4d4a80f,9,Seller,valid,"I will take 2400 and I will deliver it , how about that ?",Counteroffer with a higher price and delivery option
res_CB,C_94e2687ca8df42e99d31ff02d4d4a80f,10,Buyer,valid,Will you do 2200 and I will come pick it up since its a 100 mile drive?  It will save you on gas.,Negotiate with a compromise offer
res_CB,C_94e2687ca8df42e99d31ff02d4d4a80f,11,Seller,valid,"i think i could that, only if you come tomorrow morning, because i might change my mind,fair enough ?",Agree to compromise with a condition
res_CB,C_94e2687ca8df42e99d31ff02d4d4a80f,12,Buyer,valid,Good deal. agree,Accept the deal
res_CB,C_d63781a4f4be4db387b20dcb5f0afdeb,0,Buyer,valid,"Hi, I am interested in your property",Expressing interest in the property
res_CB,C_d63781a4f4be4db387b20dcb5f0afdeb,1,Seller,valid,Okay we are asking 2750.  It is fully furnished and the price includes the cleaning services.,Providing information about the property and its price
res_CB,C_d63781a4f4be4db387b20dcb5f0afdeb,2,Buyer,valid,Would you be willing to negotiate the price?,Inquiring about the possibility of negotiating the price
res_CB,C_d63781a4f4be4db387b20dcb5f0afdeb,3,Seller,valid,We are pretty hard set on the 2750.  What would you like to pay the property?,Stating firmness on the price and asking for the buyer's offer
res_CB,C_d63781a4f4be4db387b20dcb5f0afdeb,4,Buyer,valid,I was thinking around $1900.,Proposing a lower price
res_CB,C_d63781a4f4be4db387b20dcb5f0afdeb,5,Seller,valid,That is too far from our asking price.  However we are willing to come down to 2500,Rejecting the buyer's offer but making a counteroffer
res_CB,C_d63781a4f4be4db387b20dcb5f0afdeb,6,Buyer,valid,Could you waive the deposit if I pay 2500?,Requesting an additional concession (waiving the deposit)
res_CB,C_d63781a4f4be4db387b20dcb5f0afdeb,7,Seller,valid,Yeah that would work for us if you are willing to give up the cleaning services,Agreeing to the concession with a condition
res_CB,C_d63781a4f4be4db387b20dcb5f0afdeb,8,Buyer,valid,Yes. deal,Accepting the condition and agreeing to the deal
res_CB,C_d63781a4f4be4db387b20dcb5f0afdeb,9,Seller,valid,okay great,Confirming the agreement
res_CB,C_1632beede2c849ddb215f06bac7f497e,0,Buyer,valid,Hey there. is the backup camera useful to you?,Initiate conversation and inquire about the usefulness of the backup camera
res_CB,C_1632beede2c849ddb215f06bac7f497e,1,Seller,valid,"This was my first car with a camera in it. I don't think I'll ever buy another car without it. When you get it, you think ""I'll never use that"" but then you come to rely on it more and more.",Share personal experience and express the value of the backup camera
res_CB,C_1632beede2c849ddb215f06bac7f497e,2,Buyer,valid,Huh. interesting. What's the mileage on the car?,Express interest and request specific information about the car's mileage
res_CB,C_1632beede2c849ddb215f06bac7f497e,3,Seller,valid,"It's got just under 45,000 miles.",Provide the requested information about the car's mileage
res_CB,C_1632beede2c849ddb215f06bac7f497e,4,Buyer,valid,that's right around the average for about 4 year old car.. Tell you what? I like the car so i,Express understanding of the mileage and begin to make an offer
res_CB,C_1632beede2c849ddb215f06bac7f497e,5,Seller,valid,Yes?,Prompt the buyer to continue after an incomplete message
res_CB,C_1632beede2c849ddb215f06bac7f497e,6,Buyer,valid,sorry my chat was misbehaving. i was going to say I'll give you 5000. I'll come and pick it up,Apologize for the interruption and make a specific offer to purchase the car
res_CB,C_1632beede2c849ddb215f06bac7f497e,7,Seller,valid,Make it 6000 and you have a deal. IF you come get it THIS WEEK. We're moving out of state so I have to get rid of it quick.,Counter the offer with a higher price and create urgency by mentioning a time constraint
res_CB,C_1632beede2c849ddb215f06bac7f497e,8,Buyer,valid,6000 it is then. it's a deal,Accept the counteroffer and confirm the deal
res_CB,C_1632beede2c849ddb215f06bac7f497e,9,Seller,valid,Deal,Confirm the agreement
res_CB,C_837e2d7618d0459b91bca5ead1283f52,0,Buyer,valid,"Hi,I am interested. Does it come from a pet and smoke free home?",Expressing interest and inquiring about the item's condition
res_CB,C_837e2d7618d0459b91bca5ead1283f52,1,Seller,valid,HELLO,Acknowledging the buyer's message
res_CB,C_837e2d7618d0459b91bca5ead1283f52,2,Buyer,valid,Can you unlock it?,Requesting the seller to unlock the item
res_CB,C_837e2d7618d0459b91bca5ead1283f52,3,Seller,valid,yes it comes from a petfree and smokefree home. it is locked for Sprint,Confirming the item's condition and providing information about its lock status
res_CB,C_837e2d7618d0459b91bca5ead1283f52,4,Buyer,valid,"With it being locked that means it will be more legwork with me,so I am coming in at a flexible offer at $80",Negotiating the price based on the item's locked status
res_CB,C_837e2d7618d0459b91bca5ead1283f52,5,Seller,valid,it is in brand new condition i can sell it for 90,Counter-offering with a slightly higher price and emphasizing the item's condition
res_CB,C_837e2d7618d0459b91bca5ead1283f52,6,Buyer,valid,"Yes,but than I have to pay someone to unlock it,so how about $85?",Reiterating the need to unlock the item and making a counter-offer
res_CB,C_837e2d7618d0459b91bca5ead1283f52,7,Seller,valid,"Ok, but I will only accept cash and you must pick up. Is that ok?",Agreeing to the price with conditions on payment method and pickup
res_CB,C_837e2d7618d0459b91bca5ead1283f52,8,Buyer,valid,Sounds good. I will pick it up tonight ok?,Confirming the agreement and arranging the pickup time
res_CB,C_837e2d7618d0459b91bca5ead1283f52,9,Seller,valid,Sure!,Agreeing to the pickup arrangement
res_CB,C_a7e41f175b6f4a53ab31daa0bb02de8b,0,Buyer,valid,Woud you be willing to go lower?,Initiate negotiation by asking for a lower price.
res_CB,C_a7e41f175b6f4a53ab31daa0bb02de8b,1,Seller,valid,I could go to 250.,Offer a reduced price of 250.
res_CB,C_a7e41f175b6f4a53ab31daa0bb02de8b,2,Buyer,valid,But you see you already put the price in so we cant negotiate. For the future negotiate first then price or else we will get the hit rejected.,Explain the importance of negotiating before setting a price to avoid rejection.
res_CB,C_a7e41f175b6f4a53ab31daa0bb02de8b,3,Seller,valid,Oh sorry. I guess I misunderstood that part. I can help deliver it to you.,Apologize for misunderstanding and offer to deliver the item.
res_CB,C_a7e41f175b6f4a53ab31daa0bb02de8b,4,Buyer,valid,That is certainly appealing as I do not have the neccessary equipment to move the set. A uahul would probably run me an extra 300.,Express interest in the delivery offer and mention the cost of renting equipment.
res_CB,C_a7e41f175b6f4a53ab31daa0bb02de8b,5,Seller,valid,Probably. So for 275 I'll deliver it. Sound good?,Propose a new price of 275 including delivery.
res_CB,C_a7e41f175b6f4a53ab31daa0bb02de8b,6,Buyer,valid,Yes but one thin how worn is the bed and base has it been used for any intense activities?,Seek clarification on the condition and usage of the bed and base.
res_CB,C_a7e41f175b6f4a53ab31daa0bb02de8b,7,Seller,valid,The bed is not worn more than normal for being used for 9 months. The frame is great and Tempur Pedic box springs are very reliable. Nothing intense has happened.,Provide details on the condition and usage of the bed and base.
res_CB,C_a7e41f175b6f4a53ab31daa0bb02de8b,8,Buyer,valid,Good cause Id personally feel uncomfortable if any activities like when a mommy and daddy like each other very much took place on it. Ok Id be willing to accept your offer.,Express concern about the bed's past usage and agree to the offer.
res_CB,C_a7e41f175b6f4a53ab31daa0bb02de8b,9,Seller,valid,"Nothing like that happened. Great, it's a deal.",Reassure the buyer and confirm the deal.
res_CB,C_3468edcf3f78498f9b377ef41ea59176,0,Buyer,valid,Hello,Greeting the seller
res_CB,C_3468edcf3f78498f9b377ef41ea59176,1,Seller,valid,Hi,Responding to the greeting
res_CB,C_3468edcf3f78498f9b377ef41ea59176,2,Buyer,valid,So is this a nice place?,Inquiring about the quality of the place
res_CB,C_3468edcf3f78498f9b377ef41ea59176,3,Seller,valid,"It's beautiful, and in a great neighborhood.",Providing a positive description of the place
res_CB,C_3468edcf3f78498f9b377ef41ea59176,4,Buyer,valid,Can you come down a bit on the price? It is a little too expensive for me,Requesting a price reduction
res_CB,C_3468edcf3f78498f9b377ef41ea59176,5,Seller,valid,"Well, I have to take my cost into consideration and set somthing aside for maintenance. I can do 3200.",Explaining the pricing considerations and offering a counter-proposal
res_CB,C_3468edcf3f78498f9b377ef41ea59176,6,Buyer,valid,Is there any way to go down to 3100?,Negotiating for a further price reduction
res_CB,C_3468edcf3f78498f9b377ef41ea59176,7,Seller,valid,Would you be willing to handle Lawn work and any maintenance under 100?,Proposing a condition for the price reduction
res_CB,C_3468edcf3f78498f9b377ef41ea59176,8,Buyer,valid,Sure. That works for me,Agreeing to the proposed condition
res_CB,C_3468edcf3f78498f9b377ef41ea59176,9,Seller,valid,"Ok, 3100.  You handle Lawn care and any maintenance under 100. Deal?",Confirming the new terms of the deal
res_CB,C_3468edcf3f78498f9b377ef41ea59176,10,Buyer,valid,Yes,Accepting the deal
res_CB,C_192aeb397b524e5f8c2abaedead516e5,0,Buyer,valid,I am interested in this. Its just wow. Can you tell me about its location?,Expressing interest and requesting information about the location
res_CB,C_192aeb397b524e5f8c2abaedead516e5,1,Seller,valid,Absolutely! It's on 3185 Garrity Way in Richmond. It's got beautiful views of the bay and is around a lot of community activites. You can find nature here and you're only 7 miles away from some giant shopping areas. It's the best of both worlds.,Providing detailed information about the location
res_CB,C_192aeb397b524e5f8c2abaedead516e5,2,Buyer,valid,That's good and is it fully furnished?,Seeking additional information about the furnishing
res_CB,C_192aeb397b524e5f8c2abaedead516e5,3,Seller,valid,These are partially furnished and fully renovated units.,Clarifying the furnishing status of the units
res_CB,C_192aeb397b524e5f8c2abaedead516e5,4,Buyer,valid,Great. I am really interested but the price is just holding me back,Expressing interest but mentioning a concern about the price
res_CB,C_192aeb397b524e5f8c2abaedead516e5,5,Seller,valid,I am willing to give you some wiggle room as long as it's reasonable. Also if you sign a longer lease agreement I can move the price down a bit.,Offering flexibility on the price and suggesting a way to reduce it
res_CB,C_192aeb397b524e5f8c2abaedead516e5,6,Buyer,valid,Would you be willing to accept 2097?,Proposing a specific price
res_CB,C_192aeb397b524e5f8c2abaedead516e5,7,Seller,valid,I think we could easily make that work.,Agreeing to the proposed price
res_CB,C_192aeb397b524e5f8c2abaedead516e5,8,Buyer,valid,Great! So deal?,Confirming the agreement
res_CB,C_192aeb397b524e5f8c2abaedead516e5,9,Seller,valid,Yes! You've got yourself a deal. Enjoy!,Finalizing the deal and expressing goodwill
res_CB,C_192aeb397b524e5f8c2abaedead516e5,10,Buyer,valid,Thank you so much!,Expressing gratitude
res_CB,C_f37854e223534091a32ff38bc7ef2d51,0,Seller,valid,I take it your interested in the cargo van?,Initiate conversation and confirm buyer's interest
res_CB,C_f37854e223534091a32ff38bc7ef2d51,1,Buyer,valid,"Yes, however the price seems a bit high. Are you willing to negotiate?",Express interest and initiate price negotiation
res_CB,C_f37854e223534091a32ff38bc7ef2d51,2,Seller,valid,I can a little but it is great condition and low miles so it is already a great deal.,Justify the current price and set expectations for negotiation
res_CB,C_f37854e223534091a32ff38bc7ef2d51,3,Buyer,valid,"I would be willing to offer you $2,500",Make an initial offer
res_CB,C_f37854e223534091a32ff38bc7ef2d51,4,Seller,valid,I can't go that low. I'll keep it for a back up at that price. I can do $3900,Reject the offer and make a counteroffer
res_CB,C_f37854e223534091a32ff38bc7ef2d51,5,Buyer,valid,"I would come up to $2,750",Increase the offer slightly
res_CB,C_f37854e223534091a32ff38bc7ef2d51,6,Seller,valid,Sorry that is just way to low.,Reject the new offer
res_CB,C_f37854e223534091a32ff38bc7ef2d51,7,Buyer,valid,"My last and final offer would be $3,000. That is more than fair for a vehicle that is almost 15 years old.",Make a final offer and justify it
res_CB,C_f37854e223534091a32ff38bc7ef2d51,8,Seller,valid,It is a one owner and I have all the maintenance records. I could go $3800,Provide additional information and make a new counteroffer
res_CB,C_f37854e223534091a32ff38bc7ef2d51,9,Buyer,valid,"3,000 is my final offer",Reiterate final offer
res_CB,C_f37854e223534091a32ff38bc7ef2d51,10,Seller,valid,I can't go that low. Sorry,Reject the final offer and end negotiation
res_CB,C_5bbc701998fa4199859174b1b75b083f,0,Seller,valid,"Hi, are you interested?",Initiate conversation and gauge interest
res_CB,C_5bbc701998fa4199859174b1b75b083f,1,Buyer,valid,Hi. I'm very interested in your add. Can you tell me a bit more about this bed frame? How long ago have you purchased it?,Express interest and request more information
res_CB,C_5bbc701998fa4199859174b1b75b083f,2,Seller,valid,"Yes, got it a year ago.",Provide information about the purchase date
res_CB,C_5bbc701998fa4199859174b1b75b083f,3,Buyer,valid,What are the dimensions of it?,Request specific details about the dimensions
