dataset,dialogue_id,utterance_idx,speaker,utterance,gpt-4o_speaker_intention,Salary,Position,Weekly holiday,Workplace,Company
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,2,recruiter,I have an immediate opening in Sales in Sydney Australia!,To inform about a job opening,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,3,recruiter,Interested?,To inquire about the worker's interest,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,4,worker,"Yes, what is the salary?",To express interest and inquire about salary,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,5,recruiter,Only have to work 2 days a week,To provide additional job details,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,6,worker,That sounds great!,To express approval of the job details,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,7,recruiter,starts at 20 plus bonus and stock options,To provide salary and benefits information,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,8,worker,Any ideas what the bonus is?,To inquire about the bonus specifics,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,9,recruiter,lots of play time and sightseeing,To highlight non-monetary benefits,27.0,Sales,5.0,Seoul,Google
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,0,worker,salary is important,expressing the importance of salary,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,1,worker,I like to work at a certain location,expressing a preference for work location,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,2,worker,and position is also important,expressing the importance of job position,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,3,worker,"though first thing first, nice to meet you",initiating polite social interaction,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,4,worker,how are you doing today,inquiring about the recruiter's well-being,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,5,recruiter,nice to meet you too!,reciprocating polite social interaction,43.0,Manager,4.0,Tokyo,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,0,recruiter,hi,Initiate conversation,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,1,worker,Hello!,Respond to greeting,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,2,recruiter,i propose 25 salary,Propose initial salary offer,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,3,worker,Could I propose a salary of $40?,Negotiate for a higher salary,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,4,recruiter,"no, too much",Reject the proposed salary increase,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,5,worker,I am looking for the position of a Designer at Google,Express interest in a specific job position,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,6,worker,I could do 30 salary,Counteroffer with a lower salary demand,27.0,Designer,3.0,Beijing,Apple
ji,888f257e-1d6e-11e9-99e9-6c96cfdf0295,0,worker,I'm interested in some Design jobs!!,Express interest in design jobs,25.0,Designer,5.0,Seoul,Google
ji,888f257e-1d6e-11e9-99e9-6c96cfdf0295,1,recruiter,I have design jobs available,Inform about availability of design jobs,25.0,Designer,5.0,Seoul,Google
ji,888f257e-1d6e-11e9-99e9-6c96cfdf0295,2,recruiter,$25.00 per hour is what we hire at for design jobs.,Provide information about the pay rate for design jobs,25.0,Designer,5.0,Seoul,Google
ji,888fc9a2-1d6e-11e9-b240-6c96cfdf0295,0,worker,hello looking to move up with a company,Express desire to advance in a company,35.0,Designer,4.0,Sydney,Amazon
ji,888fc9a2-1d6e-11e9-b240-6c96cfdf0295,1,recruiter,"Hello, I can help with that",Offer assistance in achieving the worker's goal,35.0,Designer,4.0,Sydney,Amazon
ji,88919476-1d6e-11e9-a11f-6c96cfdf0295,0,worker,hello,To initiate the conversation,35.0,Engineer,4.0,Tokyo,Google
ji,88919476-1d6e-11e9-a11f-6c96cfdf0295,1,recruiter,I would like to propose a salary of $12 to start,To propose an initial salary offer,35.0,Engineer,4.0,Tokyo,Google
ji,88925a78-1d6e-11e9-8413-6c96cfdf0295,0,recruiter,What is a good starting point for you?,To inquire about the worker's desired starting salary,35.0,Sales,2.0,Sydney,Amazon
ji,88925a78-1d6e-11e9-8413-6c96cfdf0295,1,worker,i'd like to start at about $40/hr,To express the desired starting salary,35.0,Sales,2.0,Sydney,Amazon
ji,8893c91c-1d6e-11e9-b964-6c96cfdf0295,0,recruiter,"Hi, I'm the job recruiter",Introduce themselves and establish their role in the conversation.,39.0,Designer,4.0,Tokyo,Apple
ji,8893c91c-1d6e-11e9-b964-6c96cfdf0295,1,worker,"Hello, I would like to apply for the position of designer",Express desire to apply for a specific job position.,39.0,Designer,4.0,Tokyo,Apple
ji,8893c91c-1d6e-11e9-b964-6c96cfdf0295,2,recruiter,"Ok, which company is your preference?",Inquire about the worker's company preference.,39.0,Designer,4.0,Tokyo,Apple
ji,8893c91c-1d6e-11e9-b964-6c96cfdf0295,3,worker,Facebook,State their preferred company.,39.0,Designer,4.0,Tokyo,Apple
ji,8893c91c-1d6e-11e9-b964-6c96cfdf0295,4,recruiter,"Great, any salary expectations?",Ask about the worker's salary expectations.,39.0,Designer,4.0,Tokyo,Apple
ji,88947fa6-1d6e-11e9-a7bb-6c96cfdf0295,0,worker,"Hi! I would love to work for Facebook, particularly in Sales",Expressing interest in working for Facebook in a Sales position,35.0,Sales,3.0,Beijing,Amazon
ji,88947fa6-1d6e-11e9-a7bb-6c96cfdf0295,1,recruiter,How about Facebook as designer,Suggesting an alternative position at Facebook as a designer,35.0,Sales,3.0,Beijing,Amazon
ji,88947fa6-1d6e-11e9-a7bb-6c96cfdf0295,2,worker,"I could do Engineer or Sales for Facebook, a job in Amazon Sales would also be agreeable.",Clarifying willingness to work in Engineering or Sales at Facebook or in Sales at Amazon,35.0,Sales,3.0,Beijing,Amazon
ji,88965a2e-1d6e-11e9-a44d-6c96cfdf0295,0,worker,Hello,Initiate conversation,35.0,Designer,4.0,Beijing,Apple
ji,88965a2e-1d6e-11e9-a44d-6c96cfdf0295,1,recruiter,What position you looking for?,Inquire about the job position the worker is interested in,35.0,Designer,4.0,Beijing,Apple
ji,88965a2e-1d6e-11e9-a44d-6c96cfdf0295,2,worker,Designer,Specify the desired job position,35.0,Designer,4.0,Beijing,Apple
ji,88965a2e-1d6e-11e9-a44d-6c96cfdf0295,3,worker,With Apple,Specify the desired company to work for,35.0,Designer,4.0,Beijing,Apple
ji,8898db46-1d6e-11e9-8ea0-6c96cfdf0295,0,recruiter,I would like to propose,To propose a job offer or negotiation,35.0,Engineer,4.0,Tokyo,Google
ji,8898db46-1d6e-11e9-8ea0-6c96cfdf0295,1,worker,50/hr,To state a desired hourly rate,35.0,Engineer,4.0,Tokyo,Google
ji,8898db46-1d6e-11e9-8ea0-6c96cfdf0295,2,recruiter,yes that's good salary,To agree with the proposed salary,35.0,Engineer,4.0,Tokyo,Google
ji,8898db46-1d6e-11e9-8ea0-6c96cfdf0295,3,worker,I am glad that you agree,To express satisfaction with the recruiter's agreement,35.0,Engineer,4.0,Tokyo,Google
ji,8898db46-1d6e-11e9-8ea0-6c96cfdf0295,4,recruiter,how about work in sales,To suggest a job role in sales,35.0,Engineer,4.0,Tokyo,Google
ji,8898db46-1d6e-11e9-8ea0-6c96cfdf0295,5,worker,I am good in sales 30,To express competence in sales and propose a new hourly rate,35.0,Engineer,4.0,Tokyo,Google
ji,8898db46-1d6e-11e9-8ea0-6c96cfdf0295,6,recruiter,holiday 2 days a week,To propose a holiday schedule,35.0,Engineer,4.0,Tokyo,Google
ji,88997de4-1d6e-11e9-8208-6c96cfdf0295,0,recruiter,Hello!  I've got a great job available for you as a Designer.  Any interest?,To inform the worker about a job opportunity and gauge their interest.,28.0,Manager,3.0,Sydney,Apple
ji,88997de4-1d6e-11e9-8208-6c96cfdf0295,1,worker,"I am interested, but I would like to know the salary.",To express interest in the job while seeking information about the salary.,28.0,Manager,3.0,Sydney,Apple
ji,88997de4-1d6e-11e9-8208-6c96cfdf0295,2,recruiter,"It pays almost $48,000 annually.",To provide the salary information to the worker.,28.0,Manager,3.0,Sydney,Apple
ji,88997de4-1d6e-11e9-8208-6c96cfdf0295,3,recruiter,Comes with two days off each week!  lol,To highlight an additional benefit of the job in a light-hearted manner.,28.0,Manager,3.0,Sydney,Apple
ji,88997de4-1d6e-11e9-8208-6c96cfdf0295,4,worker,"I'm worth more than that.  I need it to pay $60,000.00.",To express dissatisfaction with the offered salary and state a higher salary requirement.,28.0,Manager,3.0,Sydney,Apple
ji,889abf58-1d6e-11e9-9bb3-6c96cfdf0295,0,worker,Hi I would be interested in 30 dp;;ars am jpir,Express interest in a specific hourly rate,30.0,Designer,3.0,Tokyo,Amazon
ji,889abf58-1d6e-11e9-9bb3-6c96cfdf0295,1,worker,I would like 30 dollars hourly,Clarify desired hourly wage,30.0,Designer,3.0,Tokyo,Amazon
ji,889abf58-1d6e-11e9-9bb3-6c96cfdf0295,2,recruiter,How many days a week would you like to work?,Inquire about worker's availability,30.0,Designer,3.0,Tokyo,Amazon
ji,889abf58-1d6e-11e9-9bb3-6c96cfdf0295,3,worker,with 30 discretionary/vacation days yearly,State desired vacation days,30.0,Designer,3.0,Tokyo,Amazon
ji,889abf58-1d6e-11e9-9bb3-6c96cfdf0295,4,worker,I would like to work in the Tokyo office as well,Express desire to work in a specific location,30.0,Designer,3.0,Tokyo,Amazon
ji,889abf58-1d6e-11e9-9bb3-6c96cfdf0295,5,recruiter,I was thinking 24.00 and hour and a higher position in the company,Propose a counteroffer with a lower wage and higher position,30.0,Designer,3.0,Tokyo,Amazon
ji,889dd15a-1d6e-11e9-874e-6c96cfdf0295,0,recruiter,hi,Initiate conversation,25.0,Manager,4.0,Seoul,Facebook
ji,889dd15a-1d6e-11e9-874e-6c96cfdf0295,1,worker,Hello,Respond to greeting,25.0,Manager,4.0,Seoul,Facebook
ji,889dd15a-1d6e-11e9-874e-6c96cfdf0295,2,worker,I want a managing job at Amazon,Express desire for a managing job at Amazon,25.0,Manager,4.0,Seoul,Facebook
ji,889f06ba-1d6e-11e9-98a2-6c96cfdf0295,0,worker,Hello,Initiate conversation,35.0,Designer,4.0,Tokyo,Google
ji,889f06ba-1d6e-11e9-98a2-6c96cfdf0295,1,recruiter,hi there.,Respond to greeting,35.0,Designer,4.0,Tokyo,Google
ji,889fb358-1d6e-11e9-9031-6c96cfdf0295,0,worker,55,To state a numerical value  possibly related to salary,50.0,Manager,2.0,Seoul,Amazon
ji,889fb358-1d6e-11e9-9031-6c96cfdf0295,1,worker,I propose a salary of 55,To propose a specific salary amount,50.0,Manager,2.0,Seoul,Amazon
ji,889fb358-1d6e-11e9-9031-6c96cfdf0295,2,recruiter,Would you accept a manager position,To inquire about the worker's interest in a managerial position,50.0,Manager,2.0,Seoul,Amazon
ji,889fb358-1d6e-11e9-9031-6c96cfdf0295,3,worker,Yes I would,To express willingness to accept a managerial position,50.0,Manager,2.0,Seoul,Amazon
ji,889fb358-1d6e-11e9-9031-6c96cfdf0295,4,recruiter,How about working at Amazon instead of google?,To suggest a change in the company of employment,50.0,Manager,2.0,Seoul,Amazon
ji,889fb358-1d6e-11e9-9031-6c96cfdf0295,5,worker,I would open to that but would need 60,To express openness to the suggestion with a condition of higher salary,50.0,Manager,2.0,Seoul,Amazon
ji,889fb358-1d6e-11e9-9031-6c96cfdf0295,6,recruiter,I can't be very flexible on the salary,To communicate limitations on salary flexibility,50.0,Manager,2.0,Seoul,Amazon
ji,889fb358-1d6e-11e9-9031-6c96cfdf0295,7,worker,what's the most you can offer,To inquire about the maximum salary offer,50.0,Manager,2.0,Seoul,Amazon
ji,889fb358-1d6e-11e9-9031-6c96cfdf0295,8,recruiter,50,To state the maximum salary offer,50.0,Manager,2.0,Seoul,Amazon
ji,88a23206-1d6e-11e9-bb0e-6c96cfdf0295,0,worker,I have a position in sales available.,To inform about a job position availability.,30.0,Sales,3.0,Tokyo,Apple
ji,88a23206-1d6e-11e9-bb0e-6c96cfdf0295,1,worker,oops...,To acknowledge a mistake or error in the previous statement.,30.0,Sales,3.0,Tokyo,Apple
ji,88a23206-1d6e-11e9-bb0e-6c96cfdf0295,2,worker,Do you have any sales positions available?,To inquire about the availability of sales positions.,30.0,Sales,3.0,Tokyo,Apple
ji,88a23206-1d6e-11e9-bb0e-6c96cfdf0295,3,recruiter,"Sales would be the best position, at either Google or Apple",To suggest potential job positions at specific companies.,30.0,Sales,3.0,Tokyo,Apple
ji,88a2d0a6-1d6e-11e9-9e68-6c96cfdf0295,0,worker,"hi,iam looking for a salary around 45",Expressing a salary expectation,50.0,Manager,4.0,Tokyo,Facebook
ji,88a2d0a6-1d6e-11e9-9e68-6c96cfdf0295,1,recruiter,That is doable. Would you be willing to work in Seoul for that salary?,Confirming the salary is possible and inquiring about willingness to work in a specific location,50.0,Manager,4.0,Tokyo,Facebook
ji,88a36d54-1d6e-11e9-9694-6c96cfdf0295,0,recruiter,Hi,Initiate conversation,41.0,Manager,6.0,Beijing,Google
ji,88a36d54-1d6e-11e9-9694-6c96cfdf0295,1,worker,Hi,Respond to greeting,41.0,Manager,6.0,Beijing,Google
ji,88a36d54-1d6e-11e9-9694-6c96cfdf0295,2,recruiter,How are u doing?,Inquire about worker's well-being,41.0,Manager,6.0,Beijing,Google
ji,88a5881e-1d6e-11e9-b296-6c96cfdf0295,0,worker,I'm looking for a sales job at Google,Expressing a desire to find a sales job at Google,35.0,Sales,3.0,Sydney,Google
ji,88a5881e-1d6e-11e9-b296-6c96cfdf0295,1,worker,A google or apple designer job would also work,Indicating flexibility and openness to a designer job at Google or Apple,35.0,Sales,3.0,Sydney,Google
ji,88a5881e-1d6e-11e9-b296-6c96cfdf0295,2,recruiter,Manager or Sales?,Seeking clarification on the specific job role the worker is interested in,35.0,Sales,3.0,Sydney,Google
ji,88a96042-1d6e-11e9-92d2-6c96cfdf0295,0,worker,Hi,To greet the recruiter,30.0,Designer,2.0,Beijing,Facebook
ji,88a96042-1d6e-11e9-92d2-6c96cfdf0295,1,worker,How are you?,To inquire about the recruiter's well-being,30.0,Designer,2.0,Beijing,Facebook
ji,88a96042-1d6e-11e9-92d2-6c96cfdf0295,2,worker,I am looking for a designers position,To express the desire to find a designer position,30.0,Designer,2.0,Beijing,Facebook
ji,88adb412-1d6e-11e9-ba7b-6c96cfdf0295,0,worker,Hello,Initiate conversation,50.0,Designer,4.0,Seoul,Facebook
ji,88adb412-1d6e-11e9-ba7b-6c96cfdf0295,1,recruiter,50 would need to be the salary,State salary requirement,50.0,Designer,4.0,Seoul,Facebook
ji,88adb412-1d6e-11e9-ba7b-6c96cfdf0295,2,worker,Okay what else?,Inquire about additional conditions,50.0,Designer,4.0,Seoul,Facebook
ji,88adb412-1d6e-11e9-ba7b-6c96cfdf0295,3,worker,I want sales at Google,Express desire for a sales position at Google,50.0,Designer,4.0,Seoul,Facebook
ji,88adb412-1d6e-11e9-ba7b-6c96cfdf0295,4,worker,In Seoul,Specify location preference,50.0,Designer,4.0,Seoul,Facebook
ji,88adb412-1d6e-11e9-ba7b-6c96cfdf0295,5,recruiter,weekly holiday at 4 days,Offer a condition of a 4-day workweek,50.0,Designer,4.0,Seoul,Facebook
ji,88ae6dda-1d6e-11e9-bc49-6c96cfdf0295,0,recruiter,Hello what position are you looking for?,To inquire about the specific position the worker is interested in.,35.0,Designer,2.0,Tokyo,Facebook
ji,88ae6dda-1d6e-11e9-bc49-6c96cfdf0295,1,worker,"Hi , I am lookong for a job as an Amazon designer in Tokyo",To express interest in a job as an Amazon designer in Tokyo.,35.0,Designer,2.0,Tokyo,Facebook
ji,88ae6dda-1d6e-11e9-bc49-6c96cfdf0295,2,recruiter,And how much are you looking for salary,To inquire about the worker's salary expectations.,35.0,Designer,2.0,Tokyo,Facebook
ji,88afabbe-1d6e-11e9-8c87-6c96cfdf0295,0,worker,I am hoping to find something that can help me establish some roots.,Expressing a desire to find a stable and long-term opportunity,31.0,Manager,4.0,Sydney,Google
ji,88afabbe-1d6e-11e9-8c87-6c96cfdf0295,1,recruiter,Hi. Is Tokyo the only choice for you,Inquiring about the worker's location preferences,31.0,Manager,4.0,Sydney,Google
ji,88afabbe-1d6e-11e9-8c87-6c96cfdf0295,2,worker,I'd happily try Sydney.,Indicating openness to considering another location,31.0,Manager,4.0,Sydney,Google
ji,88afabbe-1d6e-11e9-8c87-6c96cfdf0295,3,recruiter,Salary flexible to achieve location?,Checking if the worker is willing to adjust salary expectations for location preference,31.0,Manager,4.0,Sydney,Google
ji,88afabbe-1d6e-11e9-8c87-6c96cfdf0295,4,worker,Yes there would be a little flexibility there. But not too much.,Agreeing to some salary flexibility but setting limits,31.0,Manager,4.0,Sydney,Google
ji,88b04f92-1d6e-11e9-bf0a-6c96cfdf0295,0,worker,Hi,To initiate the conversation,35.0,Engineer,4.0,Sydney,Google
ji,88b22498-1d6e-11e9-871d-6c96cfdf0295,0,worker,hi,initiate conversation,35.0,Manager,4.0,Seoul,Amazon
ji,88b22498-1d6e-11e9-871d-6c96cfdf0295,1,recruiter,WOULD YOU ACCEPT MY PROPOSAL,seek confirmation or agreement,35.0,Manager,4.0,Seoul,Amazon
ji,88b22498-1d6e-11e9-871d-6c96cfdf0295,2,worker,i would like to work in sales at amazon,express desire for a specific job role,35.0,Manager,4.0,Seoul,Amazon
ji,88b22498-1d6e-11e9-871d-6c96cfdf0295,3,recruiter,WHAT ARE YOUR QUALIFICATIONS,request information about qualifications,35.0,Manager,4.0,Seoul,Amazon
